class,image,width,height,brightness,contrast,black_percent,white_percent,blur_score
cataract,data\raw\cataract\0_left.jpg,512,512,77.8379135131836,41.67042134219459,21.793746948242188,0.0,258.6551839304011
cataract,data\raw\cataract\103_left.jpg,512,512,106.12710189819336,58.897015647600156,22.7630615234375,0.0,368.18049991001317
cataract,data\raw\cataract\1062_right.jpg,512,512,140.31842041015625,77.09614848874962,22.481536865234375,0.0,479.9035481647006
cataract,data\raw\cataract\1083_left.jpg,512,512,64.85791778564453,46.435328067219274,22.07183837890625,0.0,134.29674065764993
cataract,data\raw\cataract\1084_right.jpg,512,512,101.039306640625,49.71270231741007,18.410491943359375,0.0,408.1040977886296
cataract,data\raw\cataract\1102_left.jpg,512,512,108.03697967529297,61.28768893355033,22.799301147460938,0.0,356.180156653616
cataract,data\raw\cataract\1102_right.jpg,512,512,107.51346206665039,60.190591877062005,22.802734375,0.0,308.0642926839646
cataract,data\raw\cataract\1115_left.jpg,512,512,112.56641006469727,84.09507411603964,22.313690185546875,13.16986083984375,634.0861849945358
cataract,data\raw\cataract\1126_right.jpg,512,512,154.0014991760254,84.34831447422845,22.776412963867188,0.000762939453125,715.6367413610569
cataract,data\raw\cataract\112_right.jpg,512,512,98.94566345214844,54.03984027236852,22.44415283203125,0.0,303.0632661895215
cataract,data\raw\cataract\1144_left.jpg,512,512,125.62254333496094,70.99692623893763,22.779083251953125,0.0,507.3539725781884
cataract,data\raw\cataract\1144_right.jpg,512,512,129.00103759765625,73.54205021733151,22.7752685546875,0.00152587890625,623.2295946862869
cataract,data\raw\cataract\1164_left.jpg,512,512,86.52919006347656,48.79794452581572,22.571563720703125,0.0,369.264051760023
cataract,data\raw\cataract\1167_right.jpg,512,512,56.84455490112305,36.476218263109764,22.706985473632812,0.0,106.09628587565385
cataract,data\raw\cataract\119_left.jpg,512,512,115.79327774047852,68.17761473540077,22.80731201171875,0.316619873046875,392.72576512802334
cataract,data\raw\cataract\1285_left.jpg,512,512,67.46003341674805,50.77010286570238,22.296142578125,0.014495849609375,672.593473556437
cataract,data\raw\cataract\1415_left.jpg,512,512,90.83646774291992,61.308978043893276,21.752166748046875,0.0690460205078125,594.3844908795872
cataract,data\raw\cataract\1415_right.jpg,512,512,87.93472671508789,57.931904975787035,21.504592895507812,0.023651123046875,625.6129305671055
cataract,data\raw\cataract\1435_left.jpg,512,512,81.74236297607422,46.19329424783036,23.131942749023438,0.0,275.0744884444721
cataract,data\raw\cataract\1444_left.jpg,512,512,79.88417053222656,47.428389646365616,23.14605712890625,0.0,257.40511566340865
cataract,data\raw\cataract\1452_left.jpg,512,512,67.7424545288086,40.351901888313726,20.333099365234375,0.0,242.0709464300744
cataract,data\raw\cataract\1454_right.jpg,512,512,60.42972946166992,38.774672082534536,23.247909545898438,0.0,276.1551397306466
cataract,data\raw\cataract\1456_left.jpg,512,512,31.851810455322266,21.27520014208221,21.60491943359375,0.0,59.31704302172875
cataract,data\raw\cataract\1460_right.jpg,512,512,87.71946716308594,47.83989899369382,22.214508056640625,0.0,382.1178120006225
